,Predected_Price
0,4021.894509754113
1,4014.8377833963377
2,4003.3323182089125
3,4014.8377833963377
4,4003.3323182089125
5,4021.894509754113
6,4003.3323182089125
7,4014.8377833963377
8,4003.3323182089125
9,4014.8377833963377
10,4003.3323182089125
11,4003.3323182089125
12,4010.3890445666884
13,4010.3890445666884
14,4014.8377833963377
15,4010.3890445666884
16,4014.8377833963377
17,4014.8377833963377
18,4014.8377833963377
19,4003.3323182089125
20,4003.3323182089125
21,4003.3323182089125
22,4021.894509754113
23,4021.894509754113
24,4014.8377833963377
25,4014.8377833963377
26,4014.8377833963377
27,4010.3890445666884
28,4021.894509754113
29,4014.8377833963377
30,4021.894509754113
31,4014.8377833963377
32,4014.8377833963377
33,4014.8377833963377
34,4003.3323182089125
35,4014.8377833963377
36,4003.3323182089125
37,4014.8377833963377
38,4003.3323182089125
39,4014.8377833963377
40,4014.8377833963377
41,4014.8377833963377
42,4003.3323182089125
43,4014.8377833963377
44,4014.8377833963377
45,4003.3323182089125
46,4003.3323182089125
47,4014.8377833963377
48,4003.3323182089125
49,4021.894509754113
50,4021.894509754113
51,4003.3323182089125
52,4014.8377833963377
53,4003.3323182089125
54,4014.8377833963377
55,4021.894509754113
56,4014.8377833963377
57,4003.3323182089125
58,4010.3890445666884
59,4014.8377833963377
60,4014.8377833963377
61,4014.8377833963377
62,4014.8377833963377
63,4003.3323182089125
64,4003.3323182089125
65,4014.8377833963377
66,4003.3323182089125
67,4021.894509754113
68,4014.8377833963377
69,4014.8377833963377
70,4021.894509754113
71,4014.8377833963377
72,4014.8377833963377
73,4021.894509754113
74,4014.8377833963377
75,4014.8377833963377
76,4010.3890445666884
77,4010.3890445666884
78,4010.3890445666884
79,4014.8377833963377
80,4014.8377833963377
81,4014.8377833963377
82,4021.894509754113
83,4014.8377833963377
84,4014.8377833963377
85,4014.8377833963377
86,4021.894509754113
87,4021.894509754113
88,4003.3323182089125
89,4003.3323182089125
90,4014.8377833963377
91,4014.8377833963377
92,4014.8377833963377
93,4003.3323182089125
94,4014.8377833963377
95,4021.894509754113
96,4014.8377833963377
97,4014.8377833963377
98,4014.8377833963377
99,4014.8377833963377
100,4014.8377833963377
101,4003.3323182089125
102,4014.8377833963377
103,4021.894509754113
104,4010.3890445666884
105,4003.3323182089125
106,4010.3890445666884
107,4021.894509754113
108,4014.8377833963377
109,4014.8377833963377
110,4014.8377833963377
111,4010.3890445666884
112,4003.3323182089125
113,4003.3323182089125
114,4003.3323182089125
115,4014.8377833963377
116,4010.3890445666884
117,4014.8377833963377
118,4014.8377833963377
119,4014.8377833963377
120,4014.8377833963377
121,4003.3323182089125
122,4014.8377833963377
123,4010.3890445666884
124,4003.3323182089125
125,4014.8377833963377
126,4014.8377833963377
127,4003.3323182089125
128,4014.8377833963377
129,4014.8377833963377
130,4014.8377833963377
131,4014.8377833963377
132,4014.8377833963377
133,4014.8377833963377
134,4010.3890445666884
135,4010.3890445666884
136,4014.8377833963377
137,4010.3890445666884
138,4010.3890445666884
139,4003.3323182089125
140,4014.8377833963377
141,4010.3890445666884
142,4021.894509754113
143,4014.8377833963377
144,4014.8377833963377
145,4014.8377833963377
146,4014.8377833963377
147,4003.3323182089125
148,4014.8377833963377
149,4014.8377833963377
150,4021.894509754113
151,4014.8377833963377
152,4003.3323182089125
153,4014.8377833963377
154,4003.3323182089125
155,4003.3323182089125
156,4014.8377833963377
157,4010.3890445666884
158,4014.8377833963377
159,4010.3890445666884
160,4003.3323182089125
161,4003.3323182089125
162,4014.8377833963377
163,4021.894509754113
164,4021.894509754113
165,4003.3323182089125
166,4014.8377833963377
167,4010.3890445666884
168,4014.8377833963377
169,4014.8377833963377
170,4014.8377833963377
171,4014.8377833963377
172,4003.3323182089125
173,4003.3323182089125
174,4003.3323182089125
175,4014.8377833963377
176,4003.3323182089125
177,4003.3323182089125
178,4014.8377833963377
179,4014.8377833963377
180,4014.8377833963377
181,4003.3323182089125
182,4014.8377833963377
183,4003.3323182089125
184,4003.3323182089125
185,4021.894509754113
186,4014.8377833963377
187,4014.8377833963377
188,4021.894509754113
189,4003.3323182089125
190,4021.894509754113
191,4014.8377833963377
192,4010.3890445666884
193,4021.894509754113
194,4003.3323182089125
195,4014.8377833963377
196,4010.3890445666884
197,4003.3323182089125
198,4021.894509754113
199,4021.894509754113
200,4014.8377833963377
201,4014.8377833963377
202,4014.8377833963377
203,4014.8377833963377
204,4014.8377833963377
205,4021.894509754113
206,4021.894509754113
207,4014.8377833963377
208,4014.8377833963377
209,4021.894509754113
210,4003.3323182089125
211,4010.3890445666884
212,4014.8377833963377
213,4003.3323182089125
214,4014.8377833963377
215,4014.8377833963377
216,4021.894509754113
217,4014.8377833963377
218,4021.894509754113
219,4021.894509754113
220,4021.894509754113
221,4003.3323182089125
222,4021.894509754113
223,4014.8377833963377
224,4014.8377833963377
225,4003.3323182089125
226,4003.3323182089125
227,4010.3890445666884
228,4010.3890445666884
229,4014.8377833963377
230,4014.8377833963377
231,4003.3323182089125
232,4003.3323182089125
233,4014.8377833963377
234,4021.894509754113
235,4021.894509754113
236,4014.8377833963377
237,4021.894509754113
238,4021.894509754113
239,4014.8377833963377
240,4014.8377833963377
241,4014.8377833963377
242,4003.3323182089125
243,4014.8377833963377
244,4014.8377833963377
245,4014.8377833963377
246,4014.8377833963377
247,4021.894509754113
248,4014.8377833963377
249,4003.3323182089125
250,4014.8377833963377
251,4003.3323182089125
252,4010.3890445666884
253,4014.8377833963377
254,4003.3323182089125
255,4014.8377833963377
256,4014.8377833963377
257,4014.8377833963377
258,4021.894509754113
259,4014.8377833963377
260,4014.8377833963377
261,4021.894509754113
262,4003.3323182089125
263,4003.3323182089125
264,4021.894509754113
265,4021.894509754113
266,4014.8377833963377
267,4014.8377833963377
268,4010.3890445666884
269,4003.3323182089125
270,4014.8377833963377
271,4014.8377833963377
272,4003.3323182089125
273,4014.8377833963377
274,4014.8377833963377
275,4003.3323182089125
276,4010.3890445666884
277,4003.3323182089125
278,4010.3890445666884
279,4014.8377833963377
280,4014.8377833963377
281,4014.8377833963377
282,4014.8377833963377
283,4021.894509754113
284,4014.8377833963377
285,4021.894509754113
286,4010.3890445666884
287,4010.3890445666884
288,4014.8377833963377
289,4021.894509754113
290,4003.3323182089125
291,4003.3323182089125
292,4021.894509754113
293,4014.8377833963377
294,4014.8377833963377
295,4008.329721694453
296,4014.8377833963377
297,4014.8377833963377
298,4003.3323182089125
299,4014.8377833963377
300,4003.3323182089125
301,4014.8377833963377
302,4010.3890445666884
303,4003.3323182089125
304,4014.8377833963377
305,4003.3323182089125
306,4014.8377833963377
307,4010.3890445666884
308,4014.8377833963377
309,4014.8377833963377
310,4003.3323182089125
311,4014.8377833963377
312,4014.8377833963377
313,4014.8377833963377
314,4014.8377833963377
315,4014.8377833963377
316,4003.3323182089125
317,4010.3890445666884
318,4014.8377833963377
319,4014.8377833963377
320,4021.894509754113
321,4014.8377833963377
322,4003.3323182089125
323,4003.3323182089125
324,4014.8377833963377
325,4014.8377833963377
326,4014.8377833963377
327,4014.8377833963377
328,4014.8377833963377
329,4003.3323182089125
330,4021.894509754113
331,4003.3323182089125
332,4014.8377833963377
333,4010.3890445666884
334,4003.3323182089125
335,4014.8377833963377
336,4014.8377833963377
337,4003.3323182089125
338,4014.8377833963377
339,4014.8377833963377
340,4014.8377833963377
341,4003.3323182089125
342,4021.894509754113
343,4021.894509754113
344,4021.894509754113
345,4014.8377833963377
346,4014.8377833963377
347,4003.3323182089125
348,4010.3890445666884
349,4021.894509754113
350,4003.3323182089125
